item_id,tier,sample,answer
moceb1e6d,T3,0,A
moceb1e6d,T3,1,A
moceb1e6d,T3,2,A
moceb1e6d,T3,3,A
moceb1e6d,T3,4,A
moceb1e6d,T3,5,A
moceb1e6d,T3,6,A
moceb1e6d,T3,7,A
moceb1e6d,T3,8,A
moceb1e6d,T3,9,A
moceb1e6d,T3,10,A
moceb1e6d,T3,11,A
moceb1e6d,T3,12,A
moceb1e6d,T3,13,A
moceb1e6d,T3,14,A
moceb1e6d,T3,15,A
moc622952,T3,0,A
moc622952,T3,1,A
moc622952,T3,2,A
moc622952,T3,3,A
moc622952,T3,4,A
moc622952,T3,5,A
moc622952,T3,6,A
moc622952,T3,7,A
moc622952,T3,8,A
moc622952,T3,9,A
moc622952,T3,10,A
moc622952,T3,11,A
moc622952,T3,12,A
moc622952,T3,13,A
moc622952,T3,14,A
moc622952,T3,15,B
mocf77768,T2,0,A
mocf77768,T2,1,A
mocf77768,T2,2,A
mocf77768,T2,3,A
mocf77768,T2,4,A
mocf77768,T2,5,A
mocf77768,T2,6,A
mocf77768,T2,7,A
mocf77768,T2,8,A
mocf77768,T2,9,B
mocf77768,T2,10,A
mocf77768,T2,11,A
mocf77768,T2,12,A
mocf77768,T2,13,A
mocf77768,T2,14,A
mocf77768,T2,15,A
mocb06f32,T3,0,A
mocb06f32,T3,1,A
mocb06f32,T3,2,A
mocb06f32,T3,3,A
mocb06f32,T3,4,A
mocb06f32,T3,5,A
mocb06f32,T3,6,A
mocb06f32,T3,7,A
mocb06f32,T3,8,A
mocb06f32,T3,9,A
mocb06f32,T3,10,A
mocb06f32,T3,11,A
mocb06f32,T3,12,A
mocb06f32,T3,13,A
mocb06f32,T3,14,A
mocb06f32,T3,15,A
moc908f62,T3,0,A
moc908f62,T3,1,A
moc908f62,T3,2,A
moc908f62,T3,3,A
moc908f62,T3,4,A
moc908f62,T3,5,B
moc908f62,T3,6,B
moc908f62,T3,7,A
moc908f62,T3,8,A
moc908f62,T3,9,A
moc908f62,T3,10,A
moc908f62,T3,11,B
moc908f62,T3,12,A
moc908f62,T3,13,A
moc908f62,T3,14,A
moc908f62,T3,15,B
moceb9805,T2,0,A
moceb9805,T2,1,A
moceb9805,T2,2,A
moceb9805,T2,3,A
moceb9805,T2,4,A
moceb9805,T2,5,A
moceb9805,T2,6,A
moceb9805,T2,7,A
moceb9805,T2,8,A
moceb9805,T2,9,A
moceb9805,T2,10,A
moceb9805,T2,11,A
moceb9805,T2,12,A
moceb9805,T2,13,A
moceb9805,T2,14,A
moceb9805,T2,15,A
moc0cead8,T2,0,A
moc0cead8,T2,1,A
moc0cead8,T2,2,A
moc0cead8,T2,3,B
moc0cead8,T2,4,A
moc0cead8,T2,5,A
moc0cead8,T2,6,B
moc0cead8,T2,7,A
moc0cead8,T2,8,A
moc0cead8,T2,9,B
moc0cead8,T2,10,A
moc0cead8,T2,11,A
moc0cead8,T2,12,A
moc0cead8,T2,13,A
moc0cead8,T2,14,A
moc0cead8,T2,15,A
moc684488,T3,0,A
moc684488,T3,1,A
moc684488,T3,2,B
moc684488,T3,3,A
moc684488,T3,4,A
moc684488,T3,5,A
moc684488,T3,6,A
moc684488,T3,7,A
moc684488,T3,8,A
moc684488,T3,9,A
moc684488,T3,10,A
moc684488,T3,11,A
moc684488,T3,12,A
moc684488,T3,13,B
moc684488,T3,14,B
moc684488,T3,15,B
moc8d22ee,T3,0,A
moc8d22ee,T3,1,A
moc8d22ee,T3,2,A
moc8d22ee,T3,3,A
moc8d22ee,T3,4,A
moc8d22ee,T3,5,A
moc8d22ee,T3,6,A
moc8d22ee,T3,7,B
moc8d22ee,T3,8,A
moc8d22ee,T3,9,A
