item_id,tier,sample,answer
moc93a645,T1,0,A
moc93a645,T1,1,A
moc93a645,T1,2,A
moc93a645,T1,3,A
moc93a645,T1,4,A
moc93a645,T1,5,A
moc93a645,T1,6,A
moc93a645,T1,7,A
moc93a645,T1,8,A
moc93a645,T1,9,A
moc93a645,T1,10,A
moc93a645,T1,11,A
moc93a645,T1,12,A
moc93a645,T1,13,A
moc93a645,T1,14,A
moc93a645,T1,15,A
moca60679,T1,0,A
moca60679,T1,1,A
moca60679,T1,2,A
moca60679,T1,3,A
moca60679,T1,4,A
moca60679,T1,5,A
moca60679,T1,6,A
moca60679,T1,7,A
moca60679,T1,8,A
moca60679,T1,9,A
moca60679,T1,10,A
moca60679,T1,11,A
moca60679,T1,12,A
moca60679,T1,13,A
moca60679,T1,14,A
moca60679,T1,15,A
moc881c45,T1,0,A
moc881c45,T1,1,A
moc881c45,T1,2,A
moc881c45,T1,3,A
moc881c45,T1,4,B
moc881c45,T1,5,A
moc881c45,T1,6,B
moc881c45,T1,7,B
moc881c45,T1,8,A
moc881c45,T1,9,A
moc881c45,T1,10,B
moc881c45,T1,11,B
moc881c45,T1,12,B
moc881c45,T1,13,B
moc881c45,T1,14,A
moc881c45,T1,15,A
moc7b48c3,T1,0,A
moc7b48c3,T1,1,A
moc7b48c3,T1,2,A
moc7b48c3,T1,3,A
moc7b48c3,T1,4,A
moc7b48c3,T1,5,A
moc7b48c3,T1,6,A
moc7b48c3,T1,7,A
moc7b48c3,T1,8,A
moc7b48c3,T1,9,A
moc7b48c3,T1,10,A
moc7b48c3,T1,11,A
moc7b48c3,T1,12,A
moc7b48c3,T1,13,A
moc7b48c3,T1,14,A
moc7b48c3,T1,15,A
moc9de9a6,T1,0,A
moc9de9a6,T1,1,A
moc9de9a6,T1,2,A
moc9de9a6,T1,3,A
moc9de9a6,T1,4,B
moc9de9a6,T1,5,B
moc9de9a6,T1,6,B
moc9de9a6,T1,7,B
moc9de9a6,T1,8,A
moc9de9a6,T1,9,B
moc9de9a6,T1,10,B
moc9de9a6,T1,11,A
moc9de9a6,T1,12,B
moc9de9a6,T1,13,A
moc9de9a6,T1,14,A
moc9de9a6,T1,15,B
moc07a014,T1,0,B
moc07a014,T1,1,B
moc07a014,T1,2,B
moc07a014,T1,3,B
moc07a014,T1,4,B
moc07a014,T1,5,B
moc07a014,T1,6,B
moc07a014,T1,7,B
moc07a014,T1,8,B
moc07a014,T1,9,B
moc07a014,T1,10,B
moc07a014,T1,11,B
moc07a014,T1,12,B
moc07a014,T1,13,B
moc07a014,T1,14,B
moc07a014,T1,15,B
moc3ef03c,T1,0,B
moc3ef03c,T1,1,B
moc3ef03c,T1,2,B
moc3ef03c,T1,3,B
moc3ef03c,T1,4,B
moc3ef03c,T1,5,B
moc3ef03c,T1,6,B
moc3ef03c,T1,7,B
moc3ef03c,T1,8,B
moc3ef03c,T1,9,B
moc3ef03c,T1,10,A
moc3ef03c,T1,11,B
moc3ef03c,T1,12,B
moc3ef03c,T1,13,B
moc3ef03c,T1,14,B
moc3ef03c,T1,15,B
mocf77768,T2,0,B
mocf77768,T2,1,A
mocf77768,T2,2,A
mocf77768,T2,3,B
mocf77768,T2,4,A
mocf77768,T2,5,B
mocf77768,T2,6,A
mocf77768,T2,7,A
mocf77768,T2,8,B
mocf77768,T2,9,B
mocf77768,T2,10,B
mocf77768,T2,11,B
mocf77768,T2,12,A
mocf77768,T2,13,B
mocf77768,T2,14,B
mocf77768,T2,15,B
moc140a92,T2,0,A
moc140a92,T2,1,A
moc140a92,T2,2,A
moc140a92,T2,3,B
moc140a92,T2,4,A
moc140a92,T2,5,A
moc140a92,T2,6,A
moc140a92,T2,7,A
moc140a92,T2,8,A
moc140a92,T2,9,A
moc140a92,T2,10,A
moc140a92,T2,11,A
moc140a92,T2,12,A
moc140a92,T2,13,A
moc140a92,T2,14,A
moc140a92,T2,15,A
mocc19c93,T2,0,A
mocc19c93,T2,1,A
mocc19c93,T2,2,B
mocc19c93,T2,3,B
mocc19c93,T2,4,B
mocc19c93,T2,5,B
mocc19c93,T2,6,A
mocc19c93,T2,7,B
mocc19c93,T2,8,A
mocc19c93,T2,9,B
mocc19c93,T2,10,B
mocc19c93,T2,11,A
mocc19c93,T2,12,A
mocc19c93,T2,13,B
mocc19c93,T2,14,B
mocc19c93,T2,15,A
moc357a28,T2,0,A
moc357a28,T2,1,B
moc357a28,T2,2,ABSTAIN
moc357a28,T2,3,A
moc357a28,T2,4,A
moc357a28,T2,5,B
moc357a28,T2,6,PARSE_FAIL
moc357a28,T2,7,B
moc357a28,T2,8,B
moc357a28,T2,9,B
moc357a28,T2,10,A
moc357a28,T2,11,B
moc357a28,T2,12,A
moc357a28,T2,13,B
moc357a28,T2,14,A
moc357a28,T2,15,B
moc33a59f,T2,0,B
moc33a59f,T2,1,B
moc33a59f,T2,2,B
