item_id,tier,sample,answer
mocd3b68a,T3,0,B
mocd3b68a,T3,1,B
mocd3b68a,T3,2,B
mocd3b68a,T3,3,B
mocd3b68a,T3,4,B
mocd3b68a,T3,5,B
mocd3b68a,T3,6,B
mocd3b68a,T3,7,A
mocd3b68a,T3,8,B
mocd3b68a,T3,9,B
mocd3b68a,T3,10,A
mocd3b68a,T3,11,B
mocd3b68a,T3,12,A
mocd3b68a,T3,13,B
mocd3b68a,T3,14,B
mocd3b68a,T3,15,B
moc870195,T3,0,B
moc870195,T3,1,B
moc870195,T3,2,B
moc870195,T3,3,B
moc870195,T3,4,B
moc870195,T3,5,B
moc870195,T3,6,B
moc870195,T3,7,B
moc870195,T3,8,B
moc870195,T3,9,B
moc870195,T3,10,B
moc870195,T3,11,B
moc870195,T3,12,B
moc870195,T3,13,B
moc870195,T3,14,B
moc870195,T3,15,B
moc94c655,T3,0,B
moc94c655,T3,1,B
moc94c655,T3,2,B
moc94c655,T3,3,B
moc94c655,T3,4,B
moc94c655,T3,5,B
moc94c655,T3,6,B
moc94c655,T3,7,B
moc94c655,T3,8,B
moc94c655,T3,9,B
moc94c655,T3,10,B
moc94c655,T3,11,B
moc94c655,T3,12,B
moc94c655,T3,13,B
moc94c655,T3,14,B
moc94c655,T3,15,B
moc25b621,T3,0,B
moc25b621,T3,1,B
moc25b621,T3,2,B
moc25b621,T3,3,B
moc25b621,T3,4,B
moc25b621,T3,5,B
moc25b621,T3,6,B
moc25b621,T3,7,B
moc25b621,T3,8,B
moc25b621,T3,9,B
moc25b621,T3,10,B
moc25b621,T3,11,B
moc25b621,T3,12,B
moc25b621,T3,13,A
moc25b621,T3,14,B
moc25b621,T3,15,B
moc84c631,T3,0,B
moc84c631,T3,1,B
moc84c631,T3,2,B
moc84c631,T3,3,B
moc84c631,T3,4,B
moc84c631,T3,5,B
moc84c631,T3,6,B
moc84c631,T3,7,B
moc84c631,T3,8,B
moc84c631,T3,9,B
moc84c631,T3,10,B
moc84c631,T3,11,B
moc84c631,T3,12,B
moc84c631,T3,13,B
moc84c631,T3,14,B
moc84c631,T3,15,B
moc0dc108,T3,0,A
moc0dc108,T3,1,A
moc0dc108,T3,2,A
moc0dc108,T3,3,A
moc0dc108,T3,4,A
moc0dc108,T3,5,A
moc0dc108,T3,6,A
moc0dc108,T3,7,A
moc0dc108,T3,8,B
moc0dc108,T3,9,A
moc0dc108,T3,10,A
moc0dc108,T3,11,A
moc0dc108,T3,12,A
moc0dc108,T3,13,A
moc0dc108,T3,14,A
moc0dc108,T3,15,A
moc40b605,T3,0,B
moc40b605,T3,1,B
moc40b605,T3,2,B
moc40b605,T3,3,B
moc40b605,T3,4,B
moc40b605,T3,5,B
moc40b605,T3,6,B
moc40b605,T3,7,B
moc40b605,T3,8,B
moc40b605,T3,9,B
moc40b605,T3,10,B
moc40b605,T3,11,B
moc40b605,T3,12,B
moc40b605,T3,13,B
moc40b605,T3,14,B
moc40b605,T3,15,B
moc81ca3f,T3,0,B
moc81ca3f,T3,1,B
moc81ca3f,T3,2,B
moc81ca3f,T3,3,B
moc81ca3f,T3,4,B
moc81ca3f,T3,5,B
moc81ca3f,T3,6,B
moc81ca3f,T3,7,B
moc81ca3f,T3,8,B
moc81ca3f,T3,9,B
moc81ca3f,T3,10,B
moc81ca3f,T3,11,B
moc81ca3f,T3,12,B
moc81ca3f,T3,13,B
moc81ca3f,T3,14,B
moc81ca3f,T3,15,B
moc12f23b,T3,0,B
moc12f23b,T3,1,B
moc12f23b,T3,2,B
moc12f23b,T3,3,B
moc12f23b,T3,4,B
moc12f23b,T3,5,B
moc12f23b,T3,6,B
moc12f23b,T3,7,B
moc12f23b,T3,8,B
moc12f23b,T3,9,B
moc12f23b,T3,10,B
moc12f23b,T3,11,B
moc12f23b,T3,12,B
moc12f23b,T3,13,B
moc12f23b,T3,14,B
moc12f23b,T3,15,B
mocb06f32,T3,0,A
mocb06f32,T3,1,B
mocb06f32,T3,2,B
mocb06f32,T3,3,B
mocb06f32,T3,4,B
mocb06f32,T3,5,B
mocb06f32,T3,6,B
mocb06f32,T3,7,B
mocb06f32,T3,8,B
mocb06f32,T3,9,A
mocb06f32,T3,10,B
mocb06f32,T3,11,B
mocb06f32,T3,12,A
mocb06f32,T3,13,A
mocb06f32,T3,14,A
mocb06f32,T3,15,B
moc160f45,T3,0,B
moc160f45,T3,1,B
moc160f45,T3,2,B
moc160f45,T3,3,B
moc160f45,T3,4,B
moc160f45,T3,5,B
moc160f45,T3,6,B
moc160f45,T3,7,B
moc160f45,T3,8,B
moc160f45,T3,9,B
moc160f45,T3,10,B
moc160f45,T3,11,B
moc160f45,T3,12,B
moc160f45,T3,13,B
moc160f45,T3,14,B
moc160f45,T3,15,B
moca9f134,T2,0,B
moca9f134,T2,1,B
moca9f134,T2,2,B
moca9f134,T2,3,B
moca9f134,T2,4,B
moca9f134,T2,5,B
moca9f134,T2,6,B
moca9f134,T2,7,B
moca9f134,T2,8,B
moca9f134,T2,9,B
moca9f134,T2,10,B
moca9f134,T2,11,B
moca9f134,T2,12,B
moca9f134,T2,13,B
moca9f134,T2,14,B
moca9f134,T2,15,B
moc44de50,T3,0,A
moc44de50,T3,1,A
moc44de50,T3,2,A
moc44de50,T3,3,A
moc44de50,T3,4,A
moc44de50,T3,5,A
moc44de50,T3,6,A
moc44de50,T3,7,A
moc44de50,T3,8,A
moc44de50,T3,9,A
moc44de50,T3,10,A
moc44de50,T3,11,A
moc44de50,T3,12,A
moc44de50,T3,13,A
moc44de50,T3,14,A
moc44de50,T3,15,A
moc3e85ee,T3,0,A
moc3e85ee,T3,1,A
moc3e85ee,T3,2,A
moc3e85ee,T3,3,A
moc3e85ee,T3,4,A
moc3e85ee,T3,5,A
moc3e85ee,T3,6,A
moc3e85ee,T3,7,A
moc3e85ee,T3,8,A
moc3e85ee,T3,9,A
moc3e85ee,T3,10,A
moc3e85ee,T3,11,A
moc3e85ee,T3,12,A
moc3e85ee,T3,13,A
moc3e85ee,T3,14,A
moc3e85ee,T3,15,A
moc6b1777,T2,0,A
moc6b1777,T2,1,A
moc6b1777,T2,2,A
moc6b1777,T2,3,A
moc6b1777,T2,4,A
moc6b1777,T2,5,A
moc6b1777,T2,6,A
moc6b1777,T2,7,A
moc6b1777,T2,8,A
moc6b1777,T2,9,A
moc6b1777,T2,10,A
moc6b1777,T2,11,A
moc6b1777,T2,12,A
moc6b1777,T2,13,A
moc6b1777,T2,14,A
moc6b1777,T2,15,A
moce3002a,T3,0,A
moce3002a,T3,1,A
moce3002a,T3,2,A
moce3002a,T3,3,A
moce3002a,T3,4,A
moce3002a,T3,5,A
moce3002a,T3,6,A
moce3002a,T3,7,A
moce3002a,T3,8,A
moce3002a,T3,9,A
moce3002a,T3,10,A
moce3002a,T3,11,A
moce3002a,T3,12,A
moce3002a,T3,13,A
moce3002a,T3,14,A
moce3002a,T3,15,A
mocdc24a4,T2,0,A
mocdc24a4,T2,1,A
mocdc24a4,T2,2,A
mocdc24a4,T2,3,A
mocdc24a4,T2,4,A
mocdc24a4,T2,5,A
mocdc24a4,T2,6,A
mocdc24a4,T2,7,A
mocdc24a4,T2,8,A
mocdc24a4,T2,9,B
mocdc24a4,T2,10,A
mocdc24a4,T2,11,A
mocdc24a4,T2,12,B
mocdc24a4,T2,13,A
mocdc24a4,T2,14,A
mocdc24a4,T2,15,A
moc76e1f2,T2,0,B
moc76e1f2,T2,1,B
moc76e1f2,T2,2,B
moc76e1f2,T2,3,B
moc76e1f2,T2,4,B
moc76e1f2,T2,5,B
moc76e1f2,T2,6,B
moc76e1f2,T2,7,B
moc76e1f2,T2,8,B
moc76e1f2,T2,9,B
moc76e1f2,T2,10,B
moc76e1f2,T2,11,B
moc76e1f2,T2,12,B
moc76e1f2,T2,13,B
moc76e1f2,T2,14,A
