item_id,tier,sample,answer
mocd3b68a,T3,0,A
mocd3b68a,T3,1,A
mocd3b68a,T3,2,A
mocd3b68a,T3,3,A
mocd3b68a,T3,4,A
mocd3b68a,T3,5,A
mocd3b68a,T3,6,A
mocd3b68a,T3,7,A
mocd3b68a,T3,8,A
mocd3b68a,T3,9,A
mocd3b68a,T3,10,A
mocd3b68a,T3,11,A
mocd3b68a,T3,12,A
mocd3b68a,T3,13,A
mocd3b68a,T3,14,A
mocd3b68a,T3,15,A
moc870195,T3,0,B
moc870195,T3,1,A
moc870195,T3,2,A
moc870195,T3,3,A
moc870195,T3,4,B
moc870195,T3,5,A
moc870195,T3,6,A
moc870195,T3,7,A
moc870195,T3,8,A
moc870195,T3,9,A
moc870195,T3,10,B
moc870195,T3,11,A
moc870195,T3,12,A
moc870195,T3,13,A
moc870195,T3,14,A
moc870195,T3,15,A
moc94c655,T3,0,B
moc94c655,T3,1,A
moc94c655,T3,2,B
moc94c655,T3,3,B
moc94c655,T3,4,B
moc94c655,T3,5,B
moc94c655,T3,6,B
moc94c655,T3,7,A
moc94c655,T3,8,A
moc94c655,T3,9,A
moc94c655,T3,10,A
moc94c655,T3,11,B
moc94c655,T3,12,A
moc94c655,T3,13,B
moc94c655,T3,14,B
moc94c655,T3,15,B
moc25b621,T3,0,A
moc25b621,T3,1,B
moc25b621,T3,2,A
moc25b621,T3,3,A
moc25b621,T3,4,A
moc25b621,T3,5,A
moc25b621,T3,6,A
moc25b621,T3,7,A
moc25b621,T3,8,A
moc25b621,T3,9,A
moc25b621,T3,10,A
moc25b621,T3,11,A
moc25b621,T3,12,A
moc25b621,T3,13,A
moc25b621,T3,14,A
moc25b621,T3,15,A
moc84c631,T3,0,A
moc84c631,T3,1,A
moc84c631,T3,2,A
moc84c631,T3,3,A
moc84c631,T3,4,A
moc84c631,T3,5,A
moc84c631,T3,6,A
moc84c631,T3,7,A
moc84c631,T3,8,A
moc84c631,T3,9,A
moc84c631,T3,10,A
moc84c631,T3,11,A
moc84c631,T3,12,A
moc84c631,T3,13,A
moc84c631,T3,14,A
moc84c631,T3,15,A
moc0dc108,T3,0,B
moc0dc108,T3,1,A
moc0dc108,T3,2,A
moc0dc108,T3,3,A
moc0dc108,T3,4,B
moc0dc108,T3,5,A
moc0dc108,T3,6,A
moc0dc108,T3,7,A
moc0dc108,T3,8,A
moc0dc108,T3,9,A
moc0dc108,T3,10,A
moc0dc108,T3,11,A
moc0dc108,T3,12,A
moc0dc108,T3,13,A
moc0dc108,T3,14,A
moc0dc108,T3,15,B
moc40b605,T3,0,A
moc40b605,T3,1,B
moc40b605,T3,2,A
moc40b605,T3,3,B
moc40b605,T3,4,B
moc40b605,T3,5,A
moc40b605,T3,6,A
moc40b605,T3,7,B
moc40b605,T3,8,B
moc40b605,T3,9,B
moc40b605,T3,10,B
moc40b605,T3,11,B
moc40b605,T3,12,A
moc40b605,T3,13,B
moc40b605,T3,14,A
moc40b605,T3,15,A
moc81ca3f,T3,0,B
moc81ca3f,T3,1,A
moc81ca3f,T3,2,A
moc81ca3f,T3,3,A
moc81ca3f,T3,4,A
moc81ca3f,T3,5,B
moc81ca3f,T3,6,A
moc81ca3f,T3,7,A
moc81ca3f,T3,8,B
moc81ca3f,T3,9,A
moc81ca3f,T3,10,B
moc81ca3f,T3,11,A
moc81ca3f,T3,12,A
moc81ca3f,T3,13,A
moc81ca3f,T3,14,A
moc81ca3f,T3,15,A
moc12f23b,T3,0,A
moc12f23b,T3,1,A
moc12f23b,T3,2,A
moc12f23b,T3,3,A
moc12f23b,T3,4,B
moc12f23b,T3,5,A
moc12f23b,T3,6,A
moc12f23b,T3,7,A
moc12f23b,T3,8,A
